cA,cH,cV,cD
244.83085550486857,-0.06568713849124527,-0.0707636818861685,-0.14509302485626926
249.55199833890245,-0.06467148649871488,-0.07389797521671145,-0.13955680859698272
248.71215858274567,-0.06481263663413568,-0.07514935356896327,-0.14046297414128558
250.15713251598976,-0.06685999350691806,-0.06378436999578914,-0.13838343139898568
253.62016890048685,-0.06229609729131586,-0.06557780526611562,-0.1333591180454996
247.71729522334178,-0.0698277267043639,-0.07188795920057273,-0.14317118228767392
248.9169421717717,-0.06515905607367012,-0.06986362305363449,-0.13875755415877616
252.74418185809654,-0.06674456436349961,-0.06920758582821594,-0.14001334240850977
255.8677617879294,-0.06300844436748639,-0.06790295296168337,-0.13308518798946162
257.9605147090114,-0.06408688889924112,-0.06366547224590219,-0.13293342164459984
262.5000181153707,-0.060697244077970364,-0.06153879899567385,-0.1298980192635807
264.2914426137196,-0.05924546953521714,-0.06631144266877854,-0.1250763413411868
267.6757180485788,-0.058001837143101906,-0.059588828508809095,-0.12072185106426082
269.8630540119252,-0.056205559583659276,-0.051697900898237406,-0.12226073233362834
239.17901238772475,-0.0911847669513046,-0.08555235636820051,-0.15758699225133752
198.24308561652145,-0.12531276999182592,-0.1333824654272486,-0.23768495218482882
202.54505013292288,-0.12308671900455596,-0.1303987129299554,-0.23045260856882316
205.4716430117933,-0.12283591969769735,-0.13190392689947325,-0.22529956118776479
209.82903266006116,-0.12075050886776485,-0.12436689619527543,-0.21904603909519593
213.28702912853106,-0.11842048393321347,-0.12296202576920044,-0.21367965032289435
217.36077856612616,-0.11907684568969738,-0.12768188844990758,-0.20710051110417413
221.11453917309603,-0.11513652845378672,-0.11610787434877147,-0.20019249601881833
211.5707911050622,-0.12322180938581397,-0.12937120475379274,-0.22276045163277738
204.63950213462024,-0.123830808034092,-0.13357834544429253,-0.2348088843207074
208.0785923827993,-0.12288152282946531,-0.13425964674335672,-0.22950318326837169
210.6824362429004,-0.12083742822022805,-0.13908864759515588,-0.22782435067972903
211.72571497343628,-0.12193031066145645,-0.13281010188378922,-0.22454370696138268
