均值,标准差,对比度,相异性,同质性/逆差距,角二阶矩,能量(ASM),能量(Energy),熵(Entropy)
1.1270634,60.91485,1.99276,1.7589438,24.137865,534.06976,22.824175,22.442514,8.28037
1.116983,60.566093,2.0040114,1.7688935,24.13298,533.7497,22.812832,22.42577,8.281134
1.1137934,60.457016,2.0049388,1.7689515,24.133036,533.90186,22.817385,22.431007,8.28076
1.1128638,60.46831,1.9857222,1.7501081,24.142435,534.688,22.836493,22.453562,8.278914
1.1105591,60.19663,2.0353415,1.7989388,24.118057,532.2561,22.778925,22.38682,8.284545
1.1215556,60.76398,1.9742892,1.7366822,24.149282,535.3555,22.855082,22.478775,8.2774315
1.1218344,60.749134,1.985997,1.7510062,24.141935,534.753,22.839989,22.460762,8.27881
1.1246465,60.984158,1.9725994,1.7318121,24.15197,535.4712,22.856415,22.478386,8.277124
1.1200376,60.713444,2.0052168,1.7690669,24.13298,533.5654,22.811262,22.426077,8.28155
1.1204375,60.7886,1.9758416,1.7365681,24.149471,535.40674,22.855093,22.478065,8.277278
1.1236354,60.913628,1.9987003,1.7654482,24.13457,533.7779,22.814665,22.428331,8.281014
1.1215888,60.927284,1.9883546,1.7538303,24.140465,534.2848,22.826876,22.4428,8.279873
1.1204576,60.81613,1.9957808,1.7583773,24.138416,534.01636,22.820183,22.43451,8.2805
1.1186149,60.744045,1.9725236,1.7386608,24.148012,535.1285,22.848188,22.46884,8.277956
1.1193278,60.87972,1.9614328,1.7247502,24.155176,535.8374,22.863451,22.483112,8.276268
1.1113834,60.58229,1.9789116,1.7410841,24.1471,535.11444,22.846548,22.464602,8.277936
1.1124665,60.499588,1.9776115,1.7408272,24.147158,535.10364,22.845863,22.463364,8.277974
1.1083534,60.39949,1.9443253,1.7054123,24.16501,536.7911,22.88851,22.516983,8.274127
1.1130534,60.643963,1.9474968,1.7086812,24.163382,536.7037,22.886566,22.51397,8.274242
1.1174496,60.85517,1.9525555,1.7169287,24.159012,536.33606,22.876833,22.503256,8.275211
1.1178572,60.865593,1.9599961,1.729267,24.15248,535.5919,22.859114,22.48068,8.276846
1.1201308,61.02941,1.9689841,1.7364528,24.149014,535.13947,22.846128,22.463644,8.277949
1.114093,60.705147,1.9586935,1.7230328,24.155943,535.76544,22.862331,22.484674,8.276474
1.1178148,60.83767,1.9646966,1.7307575,24.151957,535.51276,22.857088,22.479008,8.277021
1.1155182,60.828457,1.9598444,1.7270417,24.153744,535.8001,22.862717,22.483175,8.2764015
1.1175095,60.885002,1.9449089,1.7114854,24.16156,536.3977,22.878223,22.50314,8.274972
1.1578581,61.601273,2.2100465,1.9814928,24.026205,522.656,22.541002,22.095833,8.306533
1.1592304,61.694733,2.2086227,1.9743444,24.030222,522.85455,22.547113,22.103617,8.306098
1.1625173,61.790165,2.2442584,2.011159,24.011713,521.2216,22.504992,22.050596,8.309837
1.1621128,61.83792,2.2357295,1.9963329,24.019592,521.8858,22.52111,22.070347,8.308348
1.2012863,62.31565,2.5521343,2.3184793,23.858131,505.69354,22.124132,21.594913,8.345561
1.20997,62.78449,2.5516865,2.3128922,23.86132,505.9722,22.12795,21.592932,8.344851
1.2097098,62.669525,2.57237,2.3328803,23.8514,504.7325,22.097858,21.559385,8.34767
