cA,cH,cV,cD,mean
215.6401833,-0.114741203,-0.122956193,-0.230588053,53.79297447
217.3845997,-0.113474061,-0.125316234,-0.229160612,54.22916221
218.3090326,-0.114518357,-0.124203395,-0.2240486,54.46156556
219.0885029,-0.112655149,-0.120084893,-0.222732292,54.65825765
218.9729101,-0.114489073,-0.126577616,-0.220105247,54.62793455
219.2671295,-0.114059693,-0.124017126,-0.222409529,54.7016608
218.3387488,-0.111913721,-0.12279326,-0.223988718,54.47001327
218.1100927,-0.109980581,-0.126319178,-0.22394462,54.41246208
216.6427096,-0.112717197,-0.127992049,-0.224786181,54.04430355
216.7015351,-0.110991939,-0.126415791,-0.226698536,54.05935721
215.25542,-0.113528774,-0.128815257,-0.226710622,53.69659133
216.8485395,-0.114852919,-0.125828362,-0.225474036,54.09559605
217.5886184,-0.113410147,-0.125309547,-0.221780436,54.28202958
217.7945603,-0.113725308,-0.125557941,-0.225264094,54.33250325
218.9134669,-0.113260706,-0.123933255,-0.222474928,54.6134495
218.3781357,-0.114592178,-0.127149045,-0.222200032,54.4785486
218.143702,-0.110803395,-0.122190226,-0.223493834,54.42180364
218.3926962,-0.112234262,-0.124636243,-0.223096373,54.48318234
218.7300098,-0.114048868,-0.126178214,-0.220700993,54.56727042
217.3268322,-0.112513163,-0.123372615,-0.222685084,54.21706533
217.8214509,-0.113172441,-0.128668515,-0.221409049,54.33955022
219.4957989,-0.113056195,-0.125093603,-0.222480914,54.75879205
219.3780521,-0.110900529,-0.12626186,-0.219130045,54.7304399
218.8502748,-0.112008127,-0.117655714,-0.220429881,54.60004528
217.02134,-0.113604034,-0.121747578,-0.220828909,54.14128987
216.454405,-0.113320053,-0.124811213,-0.2214548,53.99870474
216.2700049,-0.111576839,-0.120545144,-0.224181357,53.95342539
216.0677323,-0.112644891,-0.123101324,-0.221581685,53.9026011
218.1109677,-0.112397376,-0.123339793,-0.218577708,54.41416321
218.3045809,-0.111574395,-0.121683165,-0.220882233,54.46261029
218.5320546,-0.111930036,-0.120579276,-0.220153082,54.51984806
217.6610405,-0.115634447,-0.119888868,-0.223660837,54.30046408
217.8061164,-0.112219007,-0.123234084,-0.221650537,54.3372532
218.18433,-0.112748278,-0.121554713,-0.221297951,54.43218226
217.7310261,-0.112833986,-0.123961947,-0.220476973,54.31843831
217.7621412,-0.113049862,-0.121737643,-0.220925666,54.326607
217.5315724,-0.111019172,-0.122687856,-0.22076736,54.26927451
217.5765106,-0.112850253,-0.123399469,-0.222450404,54.27945263
216.1312812,-0.111579375,-0.125176408,-0.220248371,53.91856926
216.2426381,-0.114416569,-0.119652672,-0.22324172,53.94633179
215.6570549,-0.115032187,-0.122337919,-0.22168129,53.79950086
216.2666507,-0.112823464,-0.124250831,-0.223475233,53.9515253
217.1170052,-0.112248986,-0.12416835,-0.219434004,54.16528847
217.3263938,-0.112881835,-0.120325186,-0.220522859,54.21816598
217.5592767,-0.112216505,-0.123227266,-0.214151073,54.27742047
216.5507696,-0.113581607,-0.12171287,-0.223091964,54.02309579
217.2634323,-0.112578837,-0.123074513,-0.220119086,54.20191497
216.8527783,-0.112560229,-0.123981474,-0.223085691,54.09828772
217.1322091,-0.111316692,-0.125284272,-0.219887331,54.16893021
223.399107,-0.10747013,-0.122588543,-0.21975349,55.7373237
223.4408367,-0.108491435,-0.11933746,-0.219825363,55.7482956
224.1671304,-0.107326926,-0.122918538,-0.218479152,55.92960143
224.2340548,-0.110798162,-0.115416399,-0.216451232,55.94784724
229.2375123,-0.109976723,-0.117759039,-0.213558176,57.19905458
230.4918396,-0.109491183,-0.117047841,-0.210908806,57.51359795
230.2139445,-0.109643264,-0.115211244,-0.212021957,57.444267
230.3395989,-0.108848512,-0.114471289,-0.210547751,57.47643284
235.7364078,-0.106877726,-0.113158266,-0.190088709,58.83157077
217.0539843,-0.118848054,-0.132603763,-0.182805142,54.15493184
218.6798117,-0.115058175,-0.131377011,-0.182649719,54.5626817
224.7844772,-0.115586009,-0.126887174,-0.181205706,56.09019957
225.0526265,-0.117004278,-0.128680566,-0.182722135,56.15605487
224.6284712,-0.114463028,-0.1278007,-0.180772583,56.05135873
223.146639,-0.118113043,-0.124895015,-0.183773977,55.67996424
223.3684535,-0.116578841,-0.129204862,-0.18222284,55.73511175
223.7995947,-0.118483111,-0.124938084,-0.185410247,55.84269081
224.3624134,-0.116835909,-0.122952095,-0.182519429,55.98502649
225.1173033,-0.117039765,-0.128098885,-0.182785961,56.17234468
223.5282914,-0.109763265,-0.124465975,-0.177726131,55.77908401
216.0450811,-0.11748581,-0.126934103,-0.178033726,53.90565685
206.7952084,-0.121325629,-0.131230663,-0.185239236,51.58935322
206.738759,-0.123047462,-0.134396703,-0.186089018,51.57380645
217.9035313,-0.111163827,-0.126655359,-0.184963329,54.3701872
246.2805083,-0.099191799,-0.105600317,-0.197248916,61.46961683
230.5835875,-0.108050689,-0.116668999,-0.194833153,57.54100866
229.1171051,-0.107792797,-0.120122719,-0.196838796,57.1730877
227.0685247,-0.110781808,-0.116533499,-0.197424762,56.66094616
226.552412,-0.108921539,-0.120299008,-0.198820915,56.53109263
226.3619709,-0.113474914,-0.119517813,-0.201177142,56.48195026
227.2534652,-0.10825679,-0.117600664,-0.197669473,56.70748458
205.414274,-0.121374249,-0.129703996,-0.203086138,51.2400274
198.9503237,-0.125138862,-0.138419379,-0.197432294,49.62233329
199.3085225,-0.123456095,-0.14060156,-0.197471569,49.71174832
199.4453729,-0.122130404,-0.137624518,-0.200090444,49.74638187
199.9316596,-0.124797781,-0.137351112,-0.199453424,49.86751433
200.0186791,-0.124840647,-0.13874023,-0.199775844,49.88883061
198.3879648,-0.124063345,-0.139172753,-0.198725507,49.48150079
197.0043163,-0.125395,-0.137994356,-0.199130062,49.13544922
196.6831572,-0.123401912,-0.138993952,-0.198935618,49.05545644
196.6553181,-0.125962968,-0.138831762,-0.202799891,49.04693088
197.4521599,-0.122974882,-0.139889792,-0.202669242,49.24665648
199.1577674,-0.122523204,-0.140342248,-0.20049951,49.67360061
199.9412995,-0.122757489,-0.13640187,-0.20078821,49.87033799
199.8532621,-0.125814452,-0.133694292,-0.196877717,49.84921891
198.9957246,-0.123596536,-0.138898946,-0.199257253,49.63349296
198.4694919,-0.125838006,-0.138602315,-0.201598058,49.50086338
198.1604801,-0.125024815,-0.140223904,-0.19921033,49.42400525
197.8727574,-0.124479275,-0.14098858,-0.200550885,49.35168467
197.2353262,-0.124067744,-0.14011957,-0.197183389,49.19348887
196.0909201,-0.12425092,-0.138878242,-0.202270841,48.90638003
194.3259295,-0.126184978,-0.138783448,-0.203394824,48.46439157
193.4245828,-0.125951313,-0.143821875,-0.203671491,48.23778452
194.3486885,-0.12572212,-0.141038429,-0.20162835,48.47007489
196.6551966,-0.125905288,-0.141908477,-0.198124019,49.04731471
196.6476527,-0.124782555,-0.142837361,-0.191193044,49.04720994
195.396211,-0.125809366,-0.140079235,-0.195235271,48.73377179
192.6855451,-0.123125319,-0.141612933,-0.196629041,48.05604445
190.1404829,-0.125757246,-0.141229067,-0.198256369,47.41881006
188.5728423,-0.126764063,-0.143114434,-0.19571939,47.02681111
186.6503261,-0.1256544,-0.142943973,-0.195056269,46.54666787
185.7292138,-0.126768969,-0.145593885,-0.199102964,46.314437
185.6379792,-0.127634693,-0.147498487,-0.200712017,46.2905335
184.3960287,-0.127867585,-0.146250356,-0.199900032,45.98050267
183.6936362,-0.124811658,-0.146845586,-0.197736017,45.80606073
183.1344711,-0.127199798,-0.145858108,-0.197990061,45.66585579
182.6643623,-0.126870759,-0.148889374,-0.198484474,45.54752943
182.3591551,-0.125451162,-0.146762407,-0.200188117,45.47168835
181.8977308,-0.124428814,-0.148334783,-0.200194328,45.35619322
180.835593,-0.125671366,-0.150051123,-0.196935634,45.09073372
180.2067086,-0.125330627,-0.141242072,-0.197486738,44.93566229
179.529755,-0.126911901,-0.142579118,-0.200063431,44.76505014
178.5391192,-0.125284902,-0.147935539,-0.199459396,44.51660985
177.8633735,-0.127260199,-0.141752666,-0.198958665,44.34885048
176.9848951,-0.1268958,-0.140896287,-0.197655457,44.12986188
176.6197303,-0.127877086,-0.143596654,-0.194485369,44.03844279
176.2321817,-0.128444446,-0.146319792,-0.1977979,43.93990488
175.2716814,-0.12574872,-0.144055814,-0.197345779,43.70113278
221.5840447,-0.109756413,-0.124470548,-0.201438988,55.2870947
235.132507,-0.103658358,-0.113578532,-0.174511748,58.6851896
238.5729419,-0.100047006,-0.106388312,-0.165655322,59.55021281
181.2797578,-0.126810371,-0.144497692,-0.202116265,45.20158336
180.5386274,-0.127872208,-0.144097021,-0.199911312,45.01668671
186.603286,-0.126497349,-0.139963156,-0.21121401,46.53140287
186.4390202,-0.124542182,-0.140352265,-0.208901495,46.49130606
185.1153726,-0.126696271,-0.139977544,-0.20471632,46.16099562
184.5204364,-0.126240645,-0.140061112,-0.207894173,46.01156012
183.503868,-0.126450501,-0.13682197,-0.205773771,45.75870544
182.3765656,-0.127976471,-0.143612278,-0.207269579,45.47442683
181.6856585,-0.126375032,-0.139230259,-0.206391314,45.30341547
182.1415229,-0.12444947,-0.143312102,-0.204753189,45.41725204
