原始LBP特征,旋转不变LBP特征,等价模式LBP特征,旋转不变等价模式LBP特征
101.74741081605515,12.440806658434651,36.919173445641555,5.534744931882328
101.45597030367998,12.405959109042554,36.83446989999457,5.521320695831524
101.39988008168693,12.39556208952996,36.82789856301563,5.520426396955059
100.52661906684216,12.287546559514764,36.49723653590426,5.4716762951856275
101.08543882978724,12.337189264003474,36.68572369938667,5.497744534981546
100.5631682859314,12.300305053869952,36.52234093437907,5.474327812907077
101.06130548130156,12.335372679656968,36.67123300450499,5.495316061930091
100.90671135475466,12.335084332935303,36.66282133697894,5.49715808863439
101.16816211191923,12.367316831985454,36.76596847183022,5.51168779513135
101.42863249023013,12.38946186020951,36.798377371227744,5.515550793123101
101.59039203281047,12.415290941842162,36.868378202344765,5.525685756350413
101.15261004667825,12.36111186495875,36.72441898135584,5.504700051563178
100.82190052716565,12.320120834237951,36.60458208383087,5.48708715534086
100.78197637931503,12.321691051753149,36.606448704814376,5.487210126736865
100.85995423767912,12.32064494680851,36.65986747923903,5.4955692133901435
100.69959656901324,12.307948786229918,36.62071338675098,5.490824637700825
100.54677153441163,12.286367306231003,36.53111473146439,5.476653668448763
100.47606891825879,12.274179568768997,36.51240357346396,5.473450051563178
100.44967247204733,12.269226365745766,36.479720320641555,5.467636472807208
100.45332684270517,12.268137432832175,36.49372421841077,5.470551742971125
100.53158541508358,12.265330716728181,36.5133750474924,5.47204308917716
100.44415656887755,12.25275031887755,36.45924049473513,5.463889661582718
100.08932430186171,12.21395750787017,36.36968636357469,5.4509509505264875
100.090708790165,12.222361118649587,36.35317215316978,5.449024964041468
100.37446698260422,12.260662468112244,36.46208495033652,5.46602554751954
100.56974810369627,12.281771144295485,36.537337084102255,5.475972661338472
100.49359955085758,12.274292787261182,36.52036406317846,5.473091738357577
100.76029058564916,12.294758619870821,36.59062610250217,5.483196170755536
100.45475246282024,12.257853631811768,36.502022667444635,5.46934577521168
100.27133426508901,12.237019309053409,36.435752534058835,5.4604197480188885
100.0375796345799,12.210352749810031,36.335695373561656,5.446110117916848
100.27848823206145,12.253236691950717,36.41475877252497,5.458940274913156
100.16271829542987,12.219994555335433,36.39231606871472,5.454115979836083
100.07180087793095,12.213918496254886,36.341563653386885,5.446515923523664
99.86605573911746,12.19477100181828,36.29564231776487,5.4409012191977855
100.14270448871038,12.208891510394052,36.356867655639384,5.447526833206687
100.16841907973296,12.2284414181231,36.3989319298198,5.455725633005862
100.0949614802703,12.20861970120495,36.38941691204408,5.4525873181719495
100.47987933537777,12.261286229917499,36.47734866885584,5.467014831198437
